date  close volume
15/12/2009  3834.0  2683745
16/12/2009  3875.8  3309246
17/12/2009  3830.8  3185438
18/12/2009  3794.4  5412249
21/12/2009  3872.0  2664356
22/12/2009  3898.3  2460534
23/12/2009  3910.7  2008405
24/12/2009  3912.7  439547
28/12/2009  3947.1  1179368
29/12/2009  3959.9  1661961
30/12/2009  3935.5  1248180
31/12/2009  3936.3  589818
04/01/2010  4013.9  2812855
05/01/2010  4012.9  3086281
06/01/2010  4017.6  2807193
07/01/2010  4024.8  2901586
08/01/2010  4045.1  3437101
11/01/2010  4043.0  3012717
12/01/2010  4000.0  3387873
13/01/2010  4000.8  3352249
14/01/2010  4015.7  3174351
15/01/2010  3954.3  4473829
18/01/2010  3977.4  2308731
19/01/2010  4009.6  3102398
20/01/2010  3928.9  3806695
21/01/2010  3862.1  3923125
22/01/2010  3820.7  4468939
25/01/2010  3781.8  3381630
26/01/2010  3807.0  3658755
27/01/2010  3759.8  3629472
28/01/2010  3688.7  4182567
29/01/2010  3739.4  3875993
01/02/2010  3762.0  3058875
02/02/2010  3812.1  3419839
03/02/2010  3793.4  3277374
04/02/2010  3689.2  4330442
05/02/2010  3563.7  7075496
08/02/2010  3607.2  3925391
09/02/2010  3612.7  3946215
10/02/2010  3635.6  4737799
11/02/2010  3616.7  4672615
12/02/2010  3599.0  3929429
15/02/2010  3609.2  1977241
16/02/2010  3669.0  3259000
17/02/2010  3725.2  3818746
18/02/2010  3747.8  3798753
19/02/2010  3769.5  3729399
22/02/2010  3756.7  2917702
23/02/2010  3707.0  3589533
24/02/2010  3715.6  3136425
25/02/2010  3640.7  3988892
26/02/2010  3708.8  3978816
01/03/2010  3769.5  3518829
02/03/2010  3811.9  3092796
03/03/2010  3842.5  3169641
04/03/2010  3828.4  3553360
05/03/2010  3910.4  3877626
08/03/2010  3903.5  2770648
09/03/2010  3910.0  3182812
10/03/2010  3943.5  3194341
11/03/2010  3928.9  3106299
12/03/2010  3927.4  3286145
15/03/2010  3890.9  2661016
16/03/2010  3938.9  2908241
17/03/2010  3957.8  3298760
18/03/2010  3938.1  3048880
19/03/2010  3925.4  5320237
22/03/2010  3928  3119966
23/03/2010  3952.5  3014530
24/03/2010  3949.8  3305334
25/03/2010  4000.4  3619582
26/03/2010  3988.9  2907147
29/03/2010  4000.6  2748668
30/03/2010  3987.4  3039353
31/03/2010  3974.0  3724268
01/04/2010  4034.2  3315809
06/04/2010  4053.9  3564325
07/04/2010  4026.9  3341107
08/04/2010  3978.4  3434198
09/04/2010  4050.5  3239572
12/04/2010  4050.5  3073162
13/04/2010  4031.9  3313348
14/04/2010  4057.7  3530865
15/04/2010  4065.6  3430179
16/04/2010  3986.6  5756971
19/04/2010  3970.4  3340290
20/04/2010  4026.6  3493627
21/04/2010  3977.6  3726808
22/04/2010  3924.6  4829462
23/04/2010  3951.3  4225832
26/04/2010  3997.3  3772847
27/04/2010  3844.6  4591756
28/04/2010  3787  6821796
29/04/2010  3840.6  5064996
30/04/2010  3816.9  4948864
03/05/2010  3828.4  2712806
04/05/2010  3689.2  6394434
05/05/2010  3636.0  6810139
06/05/2010  3556.1  7336842
07/05/2010  3392.5  10510537
10/05/2010  3720.2  10622751
11/05/2010  3693.2  5329710
12/05/2010  3733.8  5218999
13/05/2010  3731.5  3296198
14/05/2010  3560.3  6172078
17/05/2010  3543.5  4131708
18/05/2010  3617.3  4037175
19/05/2010  3511.6  5528169
20/05/2010  3432.5  6480482
21/05/2010  3430.7  6622841
24/05/2010  3430.9  3230918
25/05/2010  3331.2  5215386
26/05/2010  3408.5  5391416
27/05/2010  3525.3  4909784
28/05/2010  3515.0  3724211
31/05/2010  3507.5  1593067
01/06/2010  3503.0  4304054
02/06/2010  3501.5  3415443
03/06/2010  3557.3  4261517
04/06/2010  3455.6  5436688
07/06/2010  3413.7  4030657
08/06/2010  3380.3  3988532
09/06/2010  3446.7  3983497
10/06/2010  3516.6  4349104
11/06/2010  3555.5  4231637
14/06/2010  3626.0  3839864
15/06/2010  3661.5  3767812
16/06/2010  3675.9  3964249
17/06/2010  3683.0  3764299
18/06/2010  3687.2  5482260
21/06/2010  3736.1  3478323
22/06/2010  3705.3  3644617
23/06/2010  3641.7  3509096
24/06/2010  3555.3  3879735
25/06/2010  3519.7  3428404
28/06/2010  3576.4  4679953
29/06/2010  3432.9  4264211
30/06/2010  3442.8  3938182
01/07/2010  3339.9  4565953
02/07/2010  3348.3  3704744
05/07/2010  3332.4  2033340
06/07/2010  3423.3  3458104
07/07/2010  3483.4  3916023
08/07/2010  3538.2  3498618
09/07/2010  3554.4  2718447
12/07/2010  3567.6  2106911
13/07/2010  3637.7  3144689
14/07/2010  3632.9  2556699
15/07/2010  3581.8  3305163
16/07/2010  3500.1  4075134
19/07/2010  3486.3  2477599
20/07/2010  3468.0  2870084
21/07/2010  3493.9  3114871
22/07/2010  3600.5  3751048
23/07/2010  3607.0  3513464
26/07/2010  3636.1  2777712
27/07/2010  3666.4  4721228
28/07/2010  3670.3  3716234
29/07/2010  3651.9  4084614
30/07/2010  3643.1  4225467
02/08/2010  3752.0  3350706
03/08/2010  3747.5  2937407
04/08/2010  3760.7  3364637
05/08/2010  3764.1  3032419
06/08/2010  3716.0  3512822
09/08/2010  3777.3  2266071
10/08/2010  3730.5  2582741
11/08/2010  3628.2  3096415
12/08/2010  3621.0  3154324
13/08/2010  3610.9  2688648
16/08/2010  3597.6  1912178
17/08/2010  3663.1  2377805
18/08/2010  3647.9  2101626
19/08/2010  3572.4  3220706
20/08/2010  3526.1  3065922
23/08/2010  3553.2  2097324
24/08/2010  3491.1  3116235
25/08/2010  3450.1  3291869
26/08/2010  3475.0  2923408
27/08/2010  3507.4  2884991
30/08/2010  3487.0  1584410
31/08/2010  3490.7  3181816
01/09/2010  3623.8  4163625
02/09/2010  3631.4  2835046
03/09/2010  3672.2  3382178
06/09/2010  3684.7  1759926
07/09/2010  3643.8  2664373
08/09/2010  3677.2  3066387
09/09/2010  3722.1  3084546
10/09/2010  3725.8  2771462
13/09/2010  3767.1  3145072
14/09/2010  3774.4  3024512
15/09/2010  3755.6  2984154
16/09/2010  3736.3  2840645
17/09/2010  3722.0  7261445
20/09/2010  3788.0  3041034
21/09/2010  3784.4  3442898
22/09/2010  3735.0  3459976
23/09/2010  3710.6  3206180
24/09/2010  3782.4  3665038
27/09/2010  3766.1  2499580
28/09/2010  3762.3  3519310
29/09/2010  3737.1  3471457
30/09/2010  3715.1  4078663
01/10/2010  3692.0  3570721
04/10/2010  3649.8  2822870
05/10/2010  3731.9  3226416
06/10/2010  3764.9  3785350
07/10/2010  3770.4  3621498
08/10/2010  3763.1  3133084
11/10/2010  3768.4  2321228
12/10/2010  3748.8  3252139
13/10/2010  3828.3  3261221
14/10/2010  3819.1  3766132
15/10/2010  3827.3  4046120
18/10/2010  3834.5  2425579
19/10/2010  3807.1  3275382
20/10/2010  3828.1  2681990
21/10/2010  3878.2  3871974
